;Dato;McDonald's;Automatudb.;VDK USD;VDK DKK;Candy Megastore Sw;Player ApS;Faraos Cigarer;Lemontblanc;KØBMANDSGÅRDEN;Mad;onfone.dk;Shell Service;PULCINELLA PIZZARI;TV /DANMARK;Den Lille Butik;Monsson Accessoriz;BRUNO & JOEL;Eleven B;CONDITORI LA GLACE;King tut pizza;Paradis Trianglen;TDC Yousee;KILDESKOVSHALLEN;Laviula Company Ap;AMAGERSTRAND IS O;Ovf. tilbage;Ovf. til SPG;Byens Orientalske;Ovf. til Mathilde;FONA AFD. FS/;Morten Holm;LABCPH;Toscana Due;Sticks N Sushi;Englebørn;CARRE COPENHAGEN;Vedels;Sidewalk;Parkering Kbh VBB;Shawarma ApS;Mcdonalds Fr.bergg;Illums Bolighus;ORION PIZZABAR;Noa Noa Østergade;Parkering Kbh IØ;TIVOLI A/S;Lagkagehuset Frede;GAMES WORKSHOP;Q Service;Noa Noa;Magasin Kgs Nytor;Fiskeridirektorat;Jagt og Fiskerima;CINEMAXX FISKETORV;Hennes & Mauritz A;BAHNE FISKETORVET;Fisketorvet Føtex;E BILLET A/S;Scandlines I/S Dan;VDK SEK;Nespresso Danmark;The Bagel co.;DSB NETBUTIK;billetdk.dk;Taxa  X;Reinh. van Hauen;GET OUT AND FISH A;ROMA PIZZERIA;BURGER KING;Isbjerget Tivoli;Svaneke Ismejeri &;Pigernes Verden V/;FRILUFTSLAND A/S;Fuglsang & Co;Paris;Den Glade Pingvin;STOREBÆLT;Statoil;H & M;Delizia Pizza;Hennes & Mauritz;Lisbeth Dahl;Day;Elgiganten;Lån til SPG budget;Mormor's gave;VN;KBL;Nordisk Film Bio;Imperial;budget;Fluefisker Ulnits;Lønoverførsel;Ovf. Jette løn;Børnepenge;Ovf. til budget;LommepengeMathilde;LommepengeJette;Lommepenge  Jon;Mejeriforeningen;FDB Kvickly Freder;Asserbo kiosk I/S;Fakta;Paradis Tisvildele;Pink;Copenhagen Histori;Familieboden;DSB Eleven Øster;VAISENHUS APOTEK;A. BUSCK KBH;Games/Karrusella;SuperB Borgergade;Imerco Frederiksvæ;Bog og Ide;Lisestuens Isbar;HØRSHOLM ISENKRAM;Solsikken;Dankort PH;MULBERRY;Schantz Data A/S;Dag H;KAZA A/S;PIZZAHUSET;Corner Shop v/Vari;TRIANGEL HÆLEBAR;STARK Frederiksvær;Netto Havnestaden;Service Kiosk v/Ni;Cykelmageren;BAKKENS INFORMATIO;Oakley brilleglas;McDonald's Nørrevo;Vin og Tobak v/Mas;Gebyrer i alt;Ovf. Sep.  Jette;Lommepenge  Jette;Lommepenge  Thilde;ZISAR HARIDREZZER;Bog & Idé Købmager;ELGIGANTEN A/S;;japps.dk;GRØNLYKKE.COM ApS;MATAS;KGL. HOFJUVELER P.;Arkadens Isbod;MCDONALD'S;Billig VVS ApS;Mcdonalds Frederik;BRLEGETØJ;Halifax;Blockbuster Video;FRISØR IVONETT;JOE & THE JUICE;Baresso Coffee A/S;Mathilde Ring;VDK EUR;Fædretur rest;Fona FF;The North Face Sto;Field's Parkering;Spejder Sport A/S;Rente;Danske Ekstrapakke;Netto Landemærket;Forum København Ap;Second Female;Millian v/Gitte By;Dækket overtræk;Ovf. Jette;Skolebillede;RD  Skovbovej;Fjernvarme  Malmøg.;Husleje  SPG;Lommep. Mathilde;Lp okt;Implantatklinik Kø;Humac  APP;www.larvefødder.dk;ESTATE COFFEE;Cph. Skatepark;Lommepenge  jette;CALIFORNIA SPORTS;Københavns Energi;Ikea   ACO;Ikea   ECO;Realkredit Danmark;PALADS TEATRET;DUXIANA;Brdr.Sørensens Eft;I Form;REINH. VAN HAUEN;Stelling AS;Creas A/S;BYMAN CYKLERS EFTF;GRAND TEATRET A/S;Flying Chef  ApS;KØBMANDSHJØRNET;FUURSTED PAPIR;Tiger;TOYS \R\ US;Magasin;Lederen;APOTEKET TRIANGLEN;PETER BEIER CHOKOL;Lån tilbage  Dec;RD  omprioritering;SAXO.COM;SPORTMASTER A/S;NY CARLSBERG GLYPT;SPORTMASTER;UnoX Aut. Vasbyga;SuperB Nørrevold;Ekstra til bugdet;SuperB Ndr. Frihav;Summerbirg Chocola;SPORTMASTER VIMMEL;Borger Kiosken;THORVALDSENS MUSEU;The living room;www.roomservice.dk;ERHVERVSSKOLERNES;PHOTOGRAFICA;SPG   Varme;Kruses Gastronomi;VOIGT;DSB Eleven Strue;DSB Eleven Kvikk;Illum;SILVAN;Stadium;Fields  Peak P.;Quick Silver;gratisdns.dk;Jette  Theater;Svømning;activfoto.dk;Ekstra til budget;Kundekort;Blomster Bjarne;Lån tilbage  Jan;Gave til Monica;Sportmarster Søbor;Bettina Beltner;Byman Sport;Møller & Mammen Ap;www.teleonline.dk;KAGEHUSET FIELDS A;Sportmaster;H&M Hennes & Mauri;Ovf. til lån;WHSmith T Pier B;Baresso Coffee;singtehus.dk;LAURITZ.COM;BILLETNET A/S;Codan Forsikring A;Lånt til SPG;Ovf. Marts;Mastercard;Netto Sølvgade;Bagels Corner;Lån tilbage SPG;Asserbo By Vandværk AmBa;Søstjernen;Power Training;Tobias Lind Madsen;H. SKJALM P.;billetto.dk        r;Happy Kebab Danmar;CDON AB;ComputerSalg A/S;Fashionistas ApS;pure shop a/s;Gebr. Heinemann;JOE & THE JUICE CP;DSB Kastrup AUT;DAGMAR TEATRET A/S;Fælledparkens Kios;iRep.DK;Hyttetur .y;Iform;Jette løn  april;Jagttegn;Burger King;Foot Locker;Dansk Shell;FOTOHUSET;Wettendorff;fotohusetvirum.dk;Change  Østerbrog;Shoots;Lønover.;Trianglen Kiosk;FOODSHOP NO.  Ap;Melausmykker.dk;SkatePro ApS;labforum.dk;Overførsel;Hennes & mauritz;Rally Point Tactic;Tria Deli;Akasse/Fagligt ktg.;www.detfrievalg.co;OVERSKYDENDE SKAT;LEGETØJ A/B;Sølvtorvets Værktø;Bonito I/S v/Björn;Ovf. Skat  Jette;Efterlønspenge;Ovf. til Budget;Bella Center A/S;NEYE()VIMMELSKA;Jarsbo & Juhl I/S;Ovf. til konto;Indbetaling;Ovf. til SPG  Dep.;interflora.dk;Klub  færge;Avero ApS;MINIMARKED;gentofteswim.dk;altfortalt.dk;Starbucks T;SØSTJERNEN;Hælebaren City A/;Monsoon Accessoriz;MathildeLommepenge;MCDONALD'S FAMILIE;Pico;MIN SØSTERS BUTIK;Arnold Busck/ Hels;Jysk;Bake House;cafe sari;The Italian;Ovf. Juni;Lån til SP budget;Lommepenge;Powertraining;DANTAXI;Superhelten v/Benj;Parkering Kbh KA;SAS UDENRIGSGÅRDEN;sidewalkshop.dk;Bueskydning;Meyers Deli A/S;Vinbørsen;Vinspecialisten To;Parkering Kbh IB;Løn;PedalAtleten af;ParadIS Købmagerga;Naturstyrelsen;STOF;JORDEN RUNDT CAFE;Bibliotek;MCS Copenhagen;North Face;Plaza Grill Og Piz;Ekstra ovf. budget;Ovf Jette løn;
KØBMANDSGÅRDEN;2/9/2012;;;;;;;;;-174,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LISELEJE BAGEREN A;2/9/2012;;;;;;;;;;-102,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
onfone.dk;2/9/2012;;;;;;;;;;;-123,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shell Service;2/9/2012;;;;;;;;;;;;-334,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FOCUS ØSTER FARIMA;2/9/2012;;;;;;;;;;-231,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PULCINELLA PIZZARI;2/9/2012;;;;;;;;;;;;;-154,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TV /DANMARK;2/9/2012;;;;;;;;;;;;;;-19,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Den Lille Butik;2/9/2012;;;;;;;;;;;;;;;-53,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monsson Accessoriz;2/9/2012;;;;;;;;;;;;;;;;-84,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Player ApS;2/9/2012;;;;;;-800,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRUNO & JOEL;2/9/2012;;;;;;;;;;;;;;;;;-900,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irma Nørre Voldg.;2/9/2012;;;;;;;;;;-345,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VDK DKK;3/9/2012;;;;-99,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eleven B;3/9/2012;;;;;;;;;;;;;;;;;;-57,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irma Codanhus;3/9/2012;;;;;;;;;;-87,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONDITORI LA GLACE;3/9/2012;;;;;;;;;;;;;;;;;;;-694,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FOCUS ØSTER FARIMA;3/9/2012;;;;;;;;;;-110,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
King tut pizza;3/9/2012;;;;;;;;;;;;;;;;;;;;-63,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
McDonald's;3/9/2012;-190,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Automatudb.;4/9/2012;;-1300,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FOCUS ØSTER FARIMA;4/9/2012;;;;;;;;;;-98,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paradis Trianglen;4/9/2012;;;;;;;;;;;;;;;;;;;;;-200,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Irma Oslo Plads;4/9/2012;;;;;;;;;;-729,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TDC Yousee;5/9/2012;;;;;;;;;;;;;;;;;;;;;;-39,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VDK DKK;5/9/2012;;;;-997,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KILDESKOVSHALLEN;5/9/2012;;;;;;;;;;;;;;;;;;;;;;;-150,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laviula Company Ap;5/9/2012;;;;;;;;;;;;;;;;;;;;;;;;-70,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
